"Country","Year","InternetUsersPer100"
"Timor-Leste","2008",1.5
"Togo","2008",2.4
"Tonga","2008",8.11077
"Trinidad and Tobago","2008",34.8
"Tunisia","2008",27.53
"Turkiye","2008",34.37
"Turkmenistan","2008",1.75
"Tuvalu","2008",11.2
"Uganda","2008",3.88
"Ukraine","2008",11
"United Arab Emirates","2008",63
"United Kingdom","2008",78.39
"United States","2008",74
"Uruguay","2008",39.3
"Uzbekistan","2008",9.08011
"Vanuatu","2008",7.26912
"Venezuela, RB","2008",25.88
"Viet Nam","2008",23.92
"Virgin Islands (U.S.)","2008",27.3618
"West Bank and Gaza","2008",24.358
"Yemen, Rep.","2008",6.89
"Zambia","2008",2.2
"Zimbabwe","2008",3.5
